station_id,station_name_th,station_name_en,area_th,latitude,longitude,reading_date,reading_time,pm25_ugm3,pm25_aqi,pm10_ugm3,aqi,is_chiang_mai,is_northern,retrieved_at
62t,ศาลากลางจังหวัดนราธิวาส ,"City Hall, Narathiwat","ต.บางนาค อ.เมือง, นราธิวาส",6.426853,101.823388,2026-09-04,22:00,7.2,12.0,,12,False,False,2026-09-05T02:38:09
67t,สำนักงานเทศบาลเมืองน่าน,"Municipality Office, Nan","ต.ในเวียง อ.เมือง, น่าน",18.7888833,100.7763166,2026-09-05,02:00,16.2,29.0,,29,False,True,2026-09-05T02:38:09
75t,โรงพยาบาลเฉลิมพระเกียรติ ,Chalermprakiet Hospital,"ต.ห้วยโก๋น อ.เฉลิมพระเกียรติ, น่าน",19.5759666,101.0815166,2026-09-05,02:00,6.9,12.0,,12,False,True,2026-09-05T02:38:09
106t,สวนสาธารณะหนองบึงกาฬ,Nong Bueng Kan Park,"ต.บึงกาฬ อ.เมือง, จ.บึงกาฬ ",18.362008,103.65977,2026-09-05,02:00,6.2,10.0,,19,False,False,2026-09-05T02:38:09
101t,ศาลากลางจังหวัดบุรีรัมย์,Buriram City Hall,"ต.เสม็ด อ.เมือง, บุรีรัมย์",14.945452,103.105896,2026-09-05,02:00,16.4,29.0,32.0,29,False,False,2026-09-05T02:38:09
20t,มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต ,Bangkok University Rangsit Campus,"ต.คลองหนึ่ง อ.คลองหลวง, ปทุมธานี",14.03742,100.605216,2026-09-05,02:00,22.3,43.0,40.0,43,False,False,2026-09-05T02:38:09
103t, สถานีตรวจอากาศหัวหิน สถานีอุตุนิยมวิทยาประจวบคีรีขันธ์,Hua Hin Weather Station Prachuap Khiri Khan Meteorological Station,"ต.หัวหิน อ.หัวหิน, ประจวบคิรีขันธ์",12.577835,99.953663,2026-09-05,02:00,10.8,18.0,47.0,24,False,False,2026-09-05T02:38:09
77t,ศาลาประชาคมบ้านบุยายใบ,Bu Yai Bai Hall Station,"ต.ท่าตูม อ.ศรีมหาโพธิ, ปราจีนบุรี",13.917563,101.590529,2026-09-05,02:00,25.6,53.0,41.0,53,False,False,2026-09-05T02:38:09
121t,ศูนย์ป่าไม้จังหวัดปัตตานี,Pattani Provincial Forestry Center,"ต.รูสะมิแล อ.เมือง, ปัตตานี",6.890637,101.250888,2026-09-05,02:00,7.4,12.0,,12,False,False,2026-09-05T02:38:09
21t,โรงเรียนอยุธยาวิทยาลัย,Ayutthaya Witthayalai School,"ต.ประตูชัย อ.พระนครศรีอยุธยา, พระนครศรีอยุธยา",14.35222,100.565325,2026-09-05,02:00,16.5,29.0,,29,False,False,2026-09-05T02:38:09
