stationID,nameTH,nameEN,areaTH,areaEN,stationType,lat,long,forecast,AQILast.date,AQILast.time,AQILast.PM25.color_id,AQILast.PM25.aqi,AQILast.PM25.value,AQILast.PM10.color_id,AQILast.PM10.aqi,AQILast.PM10.value,AQILast.O3.color_id,AQILast.O3.aqi,AQILast.O3.value,AQILast.CO.color_id,AQILast.CO.aqi,AQILast.CO.value,AQILast.NO2.color_id,AQILast.NO2.aqi,AQILast.NO2.value,AQILast.SO2.color_id,AQILast.SO2.aqi,AQILast.SO2.value,AQILast.AQI.color_id,AQILast.AQI.aqi,AQILast.AQI.param
24t,สถานีตำรวจภูธรตำบลหน้าพระลาน ,Na Phralan Police Station ,"ต.หน้าพระลาน อ.เฉลิมพระเกียรติ, สระบุรี","Na Phra Lan, Chaloem Phra Kiat, Saraburi",GROUND,14.685833,100.871996,[],2026-09-05,02:00,2,48,24.1,3,56,85,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,3,56,PM10
25t,สถานีดับเพลิงพระลักษณ์,Khao Noi Fire Station,"ต.ปากเพรียว อ.เมือง, สระบุรี","Pak Phriao, Mueang Saraburi, Saraburi",GROUND,14.526343,100.926047,[],2026-09-05,02:00,2,29,16.2,1,16,32,0,-1,-1,0,-999,-1,0,-1,-1,0,-999,-1,2,29,PM25
71t,สวนกาญจนาภิเษก ร.9 (ฝั่งสวนหิน),Kanjanapisek Park,"ต.อรัญประเทศ อ.อรัญประเทศ, สระแก้ว","Aranyaprathet, Aranyaprathet, Sa Kaeo",GROUND,13.691047,102.510442,[],2026-09-05,02:00,1,20,12.0,1,13,26,1,9,12,1,0,0.00,1,0,1,1,3,10,1,20,PM25
104t,โรงเรียนสิงห์บุรี,SINGBURI SCHOOL,"ต.บางมัญ อ.เมือง, สิงห์บุรี"," Bang Man Subdistrict, Mueang District, Sing Buri",GROUND,14.8933874,100.4130773,[],2026-09-05,02:00,2,27,15.5,0,-1,-1,1,8,11,1,1,0.20,1,3,7,1,0,0,2,27,PM25
85t,สนามกีฬากลางจังหวัดสุพรรณบุรี,Suphan Buri Provincial Central Stadium,"ต.ดอนกำยาน อ.เมือง, สุพรรณบุรี","Don Kamyan, Mueang, Suphun Buri",GROUND,14.476214,100.086095,[],2026-09-05,02:00,2,28,16.0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,2,28,PM25
42t,สำนักงานสิ่งแวดล้อมภาคที่ 14,"Environment Agency Section 14, Surat Thani","ต.มะขามเตี้ย อ.เมือง, สุราษฎร์ธานี","Makham Tia, Mueang, Surat Thani",GROUND,9.126017,99.325145,[],2026-09-04,22:00,1,9,5.6,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,1,9,PM25
111t,สถานีอุตุนิยมวิทยาสุรินทร์,Surin Meteorological Center,"ต.นอกเมือง, อ.เมือง, จ.สุรินทร์","Nok Mueang, Mueang, Surin",GROUND,14.8762222,103.4965833,[],2026-09-05,02:00,1,21,12.4,0,-999,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,1,21,PM25
96t,สวนสาธารณะ ชุมชนเลอไทย,Le Thai Community Park,"ต.ธานี อ.เมือง, สุโขทัย","Tambon Thani, Amphoe Mueang, Sukhothai",GROUND,17.006059,99.81927,[],2026-09-05,02:00,1,17,10.2,1,12,23,0,-1,-1,1,5,0.80,1,1,3,1,0,1,1,17,PM25
82t,สวนสาธารณะหนองถิ่น,"Nong Thin Public Park, Nong Khai"," ต.มีชัย อ.เมือง, หนองคาย","Meechai, Meuang, Nong Khai",GROUND,17.87748,102.728925,[],2026-09-05,02:00,1,23,14.0,1,16,31,0,-1,-1,1,1,0.20,1,1,2,0,-1,-1,1,23,PM25
115t,องค์การริหารส่วนจังหวัดหนองบัวลำภู,Nong Bua Lamphu Provincial Administrative Organization ,"ต.หนองบัว อ.เมือง, หนองบัวลำภู","Nong Bua Subdistrict, Mueang District, Nong Bua Lamphu",GROUND,17.193824,102.4585009,[],2026-09-05,02:00,1,14,8.4,1,9,18,1,3,4,1,1,0.20,1,0,0,1,0,1,1,14,PM25
110t,สำนักงานเทศบาลเมืองอำนาจเจริญ,Amnat Charoen Municipality,"ต.บุ่ง, อ.เมือง, จ.อำนาจเจริญ","Bung, Mueang, Amnat Charoen",GROUND,15.8758,104.6223,[],2026-09-05,02:00,2,27,15.4,0,-999,-1,1,14,20,1,2,0.30,1,1,2,1,0,0,2,27,PM25
